n,js_time,addon_time,wasm_time
188,0.045698,0.02795,0.035488
189,0.050354,0.032102,0.039579
190,0.054184,0.034422,0.04219
191,0.047102,0.029201,0.037
192,0.04855,0.030965,0.031687
193,0.05683,0.02837,0.037531
194,0.04932,0.030511,0.036386
195,0.051939,0.031574,0.03263
196,0.049628,0.033258,0.035027
197,0.045861,0.028852,0.03928
198,0.05145,0.027559,0.036586
199,0.053215,0.057575,0.045794
200,0.049961,0.033355,0.042586
300,0.09768,0.054232,0.073618
400,0.1418,0.082766,0.10343
500,0.203032,0.118881,0.149189
600,0.263339,0.155014,0.198556
700,0.335726,0.199937,0.214403
800,0.300237,0.188276,0.221332
900,0.366565,0.223413,0.262172
1000,0.419767,0.261455,0.305949
2000,1.17037,0.730401,0.848208
3000,3.12581,1.338699,1.67243
4000,5.72067,8.365207,3.035879
5000,7.228607,4.122622,4.973275
6000,9.584918,5.464755,9.52427
7000,11.428655,7.039648,8.670116
8000,14.7165,8.951494,9.925741
9000,14.46239,9.850528,10.828011
10000,16.883756,11.344955,13.238337
20000,57.101694,32.25319,36.228142
30000,116.474056,63.927589,90.655098
40000,204.469813,110.673129,124.10342
50000,248.785374,119.601904,148.197414
60000,503.208779,122.216723,138.979719
70000,297.601218,152.717233,174.997222
80000,351.504648,200.176591,255.85228
90000,434.304652,223.000011,267.323043
100000,560.47673,261.153735,297.013033
200000,1643.174374,815.822318,852.331441
300000,2668.771414,1407.563387,1709.240916
400000,4390.887367,2218.684579,2517.49746
500000,5662.67846,3058.175213,3464.684892
600000,7438.042167,3961.479883,4683.948859
700000,9640.077511,5317.523703,5987.82873
800000,12098.724807,6462.104719,7253.601556
900000,14087.084427,7494.11183,8353.719978
1000000,17108.069294,8900.865998,10046.89008
